final_Pout X,final_Pout Y
0.01,9.611427281452876e-05
0.03,0.0002888651935190931
0.05,0.0004748935378537791
0.07000000000000001,0.0006723223353527249
0.09,0.0008775748001707739
0.11,0.001075066920524639
0.13,0.001275851050309781
0.15,0.001476010696331195
0.17,0.001672833006949572
0.19,0.001870379104245456
0.21,0.00183196444616571
0.23,0.00229666216292757
0.25,0.002497539494331688
0.27,0.002714742361714318
0.29,0.002888448665994396
0.31,0.003137351303298279
0.33,0.002917353812549971
0.35,0.003565675698907178
0.37,0.003782968450767386
0.39,0.003970667368135374
0.41,0.004221847577898079
0.43,0.003785095512666197
0.45,0.004677897588711181
0.47,0.004900841010083104
0.49,0.005127838202322006
0.51,0.005359191919211168
0.53,0.005580458343875174
0.55,0.005803040399314372
0.5700000000000001,0.006047490831882977
0.59,0.006274391754343408
0.61,0.006525464780947182
0.63,0.006698579110442303
0.65,0.0069750252208806
0.67,0.007233267400012218
0.6900000000000001,0.007475101628806079
0.71,0.007709726087032775
0.73,0.007956517743380184
0.75,0.008170542130686451
0.77,0.008390427992191772
0.79,0.008643573684743052
0.8100000000000001,0.008889235021535727
0.8300000000000001,0.00910242349485141
0.85,0.009348121998409516
0.87,0.009577760173224037
0.89,0.009754496974314712
0.91,0.009906941114280768
0.93,0.01001701829190549
0.9500000000000001,0.01011203648137163
0.97,0.0098489761307579
0.99,0.008748999694341833
